Title,Price,Address,Beds
Common Addams,$858,"1407 W 15th St, Chicago, IL 60608",2-4 Bed
"Landmark West Loop, Chicago, IL","$1,850","1035 W Van Buren St, Chicago, IL 60607",Studio - 2 Bed
"The Van Buren, Chicago, IL","$2,215","808 W Van Buren St, Chicago, IL 60607",Studio - 2 Bed
"milieu, Chicago, IL","$1,977","205 S Peoria, Chicago, IL 60607",Studio - 2 Bed
"the Duncan, Chicago, IL","$1,146","1515 W Monroe St, Chicago, IL 60607",Studio - 1 Bed
"JeffJack Apartments, Chicago, IL","$1,589","601 W Jackson Blvd, Chicago, IL 60661",Studio - 2 Bed
"Gateway West Loop, Chicago, IL","$1,711","11 S Green St, Chicago, IL 60607",Studio - 2 Bed
"Union West, Chicago, IL","$1,428","939 W Washington Blvd, Chicago, IL 60607",Studio - 3 Bed
"727 West Madison, Chicago, IL","$1,835","727 W Madison St, Chicago, IL 60661",Studio - 3 Bed
"Presidential Towers, Chicago, IL","$1,370","555 W Madison St, Chicago, IL 60661",Studio - 2 Bed
"The Parker Fulton Market, Chicago, IL","$1,804","730 W Couch Pl, Chicago, IL 60661",Studio - 3 Bed
"The Cooper, Chicago, IL","$1,600","720 S Wells St, Chicago, IL 60607",Studio - 3 Bed
"Alta Grand Central, Chicago, IL","$1,607","221 W Harrison St, Chicago, IL 60605",Studio - 2 Bed
"Alta Roosevelt, Chicago, IL","$1,721","801 S Financial Pl, Chicago, IL 60605",Studio - 3 Bed
"Emme Chicago, Chicago, IL","$1,822","165 N Desplaines St, Chicago, IL 60661",Studio - 2 Bed
"330 S Wells, Chicago, IL","$1,625","330 S Wells St, Chicago, IL 60606",Studio - 1 Bed
"AMLI Lofts, Chicago, IL","$1,727","850 S Clark St, Chicago, IL 60605",Studio - 2 Bed
"Burnham Pointe, Chicago, IL","$1,974","730 S Clark St, Chicago, IL 60605",1-2 Bed
"Imprint, Chicago, IL","$1,600","717 S Clark St, Chicago, IL 60605",Studio - 4 Bed
"K2 Apartments, Chicago, IL","$1,699","365 N Halsted St, Chicago, IL 60661",Studio - 3 Bed
"731 South, Chicago, IL","$1,649","731 S Plymouth Ct, Chicago, IL 60605",1-2 Bed
"Millennium on LaSalle, Chicago, IL","$1,660","29 S LaSalle St, Chicago, IL 60603",Studio - 2 Bed
"Fisher Building City Apartments, Chicago, IL","$1,600","343 S Dearborn St, Chicago, IL 60604",Studio - 3 Bed
"1001 South State, Chicago, IL","$1,700","1001 S State St, Chicago, IL 60605",Studio - 3 Bed
