Title,Price,Address,Beds,Neighborhood,Latitude,Longitude
Common Addams,$858,"1407 W 15th St, Chicago, IL 60608",2-4 Bed,Little Italy,41.8614943,-87.66181569999999
"Landmark West Loop, Chicago, IL","$1,850","1035 W Van Buren St, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.8763112,-87.6541817
"The Van Buren, Chicago, IL","$2,215","808 W Van Buren St, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.8768963,-87.64752299999999
"milieu, Chicago, IL","$1,977","205 S Peoria, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.878992,-87.6494311
"the Duncan, Chicago, IL","$1,146","1515 W Monroe St, Chicago, IL 60607",Studio - 1 Bed,West Loop,41.8797943,-87.6654303
"JeffJack Apartments, Chicago, IL","$1,589","601 W Jackson Blvd, Chicago, IL 60661",Studio - 2 Bed,West Loop,41.8778715,-87.6427867
"Gateway West Loop, Chicago, IL","$1,711","11 S Green St, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.8815112,-87.6482858
"Union West, Chicago, IL","$1,428","939 W Washington Blvd, Chicago, IL 60607",Studio - 3 Bed,West Loop,41.883056,-87.65131389999999
"727 West Madison, Chicago, IL","$1,835","727 W Madison St, Chicago, IL 60661",Studio - 3 Bed,West Loop,41.8814312,-87.6467828
"Presidential Towers, Chicago, IL","$1,370","555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,West Loop,41.8810993,-87.6419262
"The Parker Fulton Market, Chicago, IL","$1,804","730 W Couch Pl, Chicago, IL 60661",Studio - 3 Bed,West Loop,41.8852033,-87.64710099999999
"The Cooper, Chicago, IL","$1,600","720 S Wells St, Chicago, IL 60607",Studio - 3 Bed,Chicago Loop,41.8725605,-87.6339106
"Alta Grand Central, Chicago, IL","$1,607","221 W Harrison St, Chicago, IL 60605",Studio - 2 Bed,Chicago Loop,41.87445049999999,-87.6340061
"Alta Roosevelt, Chicago, IL","$1,721","801 S Financial Pl, Chicago, IL 60605",Studio - 3 Bed,Chicago Loop,41.8717122,-87.6324862
"Emme Chicago, Chicago, IL","$1,822","165 N Desplaines St, Chicago, IL 60661",Studio - 2 Bed,West Loop,41.8850114,-87.6440278
"330 S Wells, Chicago, IL","$1,625","330 S Wells St, Chicago, IL 60606",Studio - 1 Bed,Chicago Loop,41.8771327,-87.6338681
"AMLI Lofts, Chicago, IL","$1,727","850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,Chicago Loop,41.8713415,-87.6312092
"Burnham Pointe, Chicago, IL","$1,974","730 S Clark St, Chicago, IL 60605",1-2 Bed,Chicago Loop,41.8724966,-87.6309198
"Imprint, Chicago, IL","$1,600","717 S Clark St, Chicago, IL 60605",Studio - 4 Bed,Chicago Loop,41.8730183,-87.630588
"K2 Apartments, Chicago, IL","$1,699","365 N Halsted St, Chicago, IL 60661",Studio - 3 Bed,West Town,41.8887123,-87.64662489999999
"731 South, Chicago, IL","$1,649","731 S Plymouth Ct, Chicago, IL 60605",1-2 Bed,Chicago Loop,41.8727581,-87.62835539999999
"Millennium on LaSalle, Chicago, IL","$1,660","29 S LaSalle St, Chicago, IL 60603",Studio - 2 Bed,Chicago Loop,41.8811582,-87.63163139999999
"Fisher Building City Apartments, Chicago, IL","$1,600","343 S Dearborn St, Chicago, IL 60604",Studio - 3 Bed,Chicago Loop,41.8772287,-87.6290111
"1001 South State, Chicago, IL","$1,700","1001 S State St, Chicago, IL 60605",Studio - 3 Bed,Chicago Loop,41.8700172,-87.62704509999999
"777 South State, Chicago, IL","$1,575","2 E 8th St, Chicago, IL 60605",Studio - 3 Bed,Chicago Loop,41.8719796,-87.62721599999999
"Alta at K Station, Chicago, IL","$1,427","555 W Kinzie St, Chicago, IL 60654",Studio - 3 Bed,West Loop,41.8887067,-87.64184860000002
"Wolf Point West, Chicago, IL","$1,811","343 W Wolf Point Plz, Chicago, IL 60654",Studio - 3 Bed,River North,41.8876107,-87.6382953
"Eleven40, Chicago, IL","$1,585","1136-1140 S Wabash Ave, Chicago, IL 60605",Studio - 2 Bed,Chicago Loop,41.8680554,-87.62631019999999
"Linea Apartments, Chicago, IL","$1,969","215 W Lake St, Chicago, IL 60606",Studio - 3 Bed,Chicago Loop,41.885569,-87.63473669999999
"Century Tower, Chicago, IL","$1,560","182 W Lake St, Chicago, IL 60601",Studio - 3 Bed,Chicago Loop,41.8860525,-87.6336358
"820 South, Chicago, IL","$1,449","820 S Michigan Ave, Chicago, IL 60605",Studio - 2 Bed,Chicago Loop,41.8710963,-87.6249236
"Essex on the Park, Chicago, IL","$1,810","808 S Michigan Ave, Chicago, IL 60605",Studio - 4 Bed,Chicago Loop,41.8714913,-87.6245734
"ELEVEN THIRTY, Chicago, IL","$1,306","1130 S Michigan Ave, Chicago, IL 60605",Studio - 2 Bed,Chicago Loop,41.8685662,-87.624423
"Coeval, Chicago, IL","$1,525","51 E 14th St, Chicago, IL 60605",Studio - 2 Bed,Near South Side,41.86396209999999,-87.625354
"The Paragon, Chicago, IL","$1,870","1326 S Michigan Ave, Chicago, IL 60605",Studio - 3 Bed,Near South Side,41.8649248,-87.6246539
"NEMA Chicago, Chicago, IL","$1,921","1210 S Indiana Ave, Chicago, IL 60605",Studio - 4 Bed,Near South Side,41.8670646,-87.6231114
"1407 On Michigan, Chicago, IL","$1,600","1407 S Michigan Ave, Chicago, IL 60605",Studio - 3 Bed,Near South Side,41.8637648,-87.62382559999999
"Marquee at Block 37, Chicago, IL","$1,677","25 W Randolph St, Chicago, IL 60601",Studio - 3 Bed,Chicago Loop,41.8837041,-87.6286628
"Spoke, Chicago, IL","$1,775","728 N Morgan St, Chicago, IL 60642",Studio - 2 Bed,West Town,41.8955126,-87.6530417
"EnV Chicago, Chicago, IL","$1,710","161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8887714,-87.63363849999999
"Hubbard 221, Chicago, IL","$1,725","221 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,River North,41.8897164,-87.6349101
"River North Park Apartments, Chicago, IL","$1,500","320 W Illinois St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8909349,-87.6364378
"Oakwood Residence Chicago River North, Chicago, IL","$2,000","220 W Illinois St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8909921,-87.6348707
"MDA City Club Apartments, Chicago, IL","$1,600","63 E Lake St, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.88558099999999,-87.6257005
"AMLI River North, Chicago, IL","$1,831","71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,River North,41.889799,-87.6307484
"73 East Lake, Chicago, IL","$2,105","73 E Lake St, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.8854911,-87.6255006
"MILA, Chicago, IL","$1,651","201 N Garland Ct, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.8860679,-87.6249653
"Marlowe, Chicago, IL","$1,812","169 W Huron St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8943837,-87.63386659999999
"GRAND PLAZA, Chicago, IL","$1,810","540 N State St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8920495,-87.6282456
"Aqua at Lakeshore East, Chicago, IL","$1,686","225 N Columbus Dr, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.8865691,-87.61988989999999
"One Superior Place, Chicago, IL","$1,579","1 W Superior St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8954527,-87.62892959999999
"Coast at Lakeshore East, Chicago, IL","$1,565","345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,Chicago Loop,41.8873544,-87.6184045
"The Tides at Lakeshore East, Chicago, IL","$1,472","360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.8866878,-87.6179825
"Aurelien, Chicago, IL","$2,174","833 N Clark St, Chicago, IL 60610",Studio - 3 Bed,Rush & Division,41.89742529999999,-87.63089509999999
"Optima Signature, Chicago, IL","$2,105","220 E Illinois St, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.8911248,-87.6214533
"The Shoreham at Lakeshore East, Chicago, IL","$1,447","400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.8867601,-87.61682189999999
"North Water Apartments, Chicago, IL","$1,966","340 E North Water St, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.8897136,-87.6188114
"Xavier, Chicago, IL","$1,910","625 W Division St, Chicago, IL 60610",Studio - 2 Bed,Goose Island,41.9029299,-87.6441632
"Cityfront Place, Chicago, IL","$1,330","400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,Streeterville,41.8891807,-87.61808850000001
"Chestnut Place, Chicago, IL","$1,894","8 W Chestnut St, Chicago, IL 60610",1-2 Bed,Rush & Division,41.8982901,-87.6286962
"One East Delaware, Chicago, IL","$1,750","1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,Rush & Division,41.8989152,-87.6279765
"Lofts At River East, Chicago, IL","$2,035","401-465 E Illinois St, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.8909049,-87.61739229999999
"One Bennett Park, Chicago, IL","$3,460","514 N Peshtigo Ct, Chicago, IL 60611",1-3 Bed,Streeterville,41.8915248,-87.6155757
"420 E Ohio, Chicago, IL","$1,816","420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.89286449999999,-87.61651669999999
"Lake Shore Plaza, Chicago, IL","$1,400","445 E Ohio St, Chicago, IL 60611",Studio - 2 Bed,Streeterville,41.8921289,-87.6165553
"500 Lake Shore Drive, Chicago, IL","$1,950","500 N Lake Shore Dr, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.8916689,-87.61502999999999
"40 East Oak, Chicago, IL","$1,385","40 E Oak St, Chicago, IL 60611",Studio - 1 Bed,Gold Coast,41.9009024,-87.62678079999999
"Axis Apartments &amp; Lofts, Chicago, IL","$1,550","441 E Erie St, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.8941009,-87.6164642
"The Sinclair, Chicago, IL","$2,116","102 W Division St, Chicago, IL 60610",Studio - 4 Bed,Near North Side,41.9040943,-87.6317385
"Seneca, Chicago, IL","$1,254","200 E Chestnut St, Chicago, IL 60611",Studio - 2 Bed,Streeterville,41.8986235,-87.62137609999999
"14 West Elm Apartments, Chicago, IL","$1,250","14 W Elm St, Chicago, IL 60610",Studio - 2 Bed,Rush & Division,41.90335719999999,-87.6292395
"Gold Coast City Club Apartments, Chicago, IL","$1,520","860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,Streeterville,41.8986092,-87.6206819
"850 Lake Shore Drive, Chicago, IL","$2,120","850 N Lake Shore Dr, Chicago, IL 60611",1-2 Bed,Streeterville,41.8982543,-87.61867459999999
"Cobbler Square Lofts, Chicago, IL","$1,580","1350 N Wells St, Chicago, IL 60610",Studio - 2 Bed,Near North Side,41.9072085,-87.6349367
"65 East Scott, Chicago, IL","$1,420","65 E Scott St, Chicago, IL 60610",Studio - 2 Bed,Gold Coast,41.9043812,-87.6261565
"1401 S. State, Chicago, IL","$1,645","1401 S State St, Chicago, IL 60605",Studio - 2 Bed,Near South Side,41.8634989,-87.62704269999999
"Aston, Chicago, IL","$1,985","200 E Illinois St, Chicago, IL 60611",1-3 Bed,Streeterville,41.8911616,-87.62226299999999
"SCIO AT THE MEDICAL DISTRICT, Chicago, IL","$1,436","901 S Ashland Ave, Chicago, IL 60607",Studio - 2 Bed,Little Italy,41.8707578,-87.665762
"The Otis, Chicago, IL","$1,850","1435 W 15th St, Chicago, IL 60608",1-2 Bed,Little Italy,41.86124,-87.663252
"Arkadia West Loop, Chicago, IL","$1,700","765 W Adams St, Chicago, IL 60661",Studio - 3 Bed,West Loop,41.879097,-87.646642
"Luxe on Madison, Chicago, IL","$1,895","1222 W Madison St, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.8819658,-87.6578811
"The Madison at Racine, Chicago, IL","$1,884","1164-1212 W Madison St, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.8818196,-87.6570283
"Porte, Chicago, IL","$2,170","855 W Madison St, Chicago, IL 60607",Studio - 3 Bed,West Loop,41.8817417,-87.64910569999999
"Circa 922, Chicago, IL","$1,805","922 W Washington Blvd, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.8834462,-87.6505619
"Lake Street Lofts, Chicago, IL","$1,895","910 W Lake St, Chicago, IL 60607",1-2 Bed,Fulton Market,41.88577009999999,-87.6501425
"Wells Place Apartments, Chicago, IL","$2,334","837-839 S Wells St, Chicago, IL 60607",1-2 Bed,Chicago Loop,41.8713207,-87.63342449999999
"The Regal Apartments, Chicago, IL","$1,613","651 S Wells St, Chicago, IL 60607",1-3 Bed,Chicago Loop,41.8735574,-87.63336799999999
"Roosevelt Collection Lofts, Chicago, IL","$2,090","150 W Roosevelt Rd, Chicago, IL 60605",1-2 Bed,Chicago Loop,41.8683735,-87.63226139999999
"180 North Jefferson, Chicago, IL","$1,624","180 N Jefferson St, Chicago, IL 60661",Studio - 3 Bed,West Loop,41.8854531,-87.6429835
"AMLI 900, Chicago, IL","$1,553","900 S Clark St, Chicago, IL 60605",Studio - 3 Bed,Chicago Loop,41.87028919999999,-87.6310166
"1000 South Clark, Chicago, IL","$1,650","1000 S Clark St., Chicago, IL 60605",Studio - 3 Bed,Chicago Loop,41.86947929999999,-87.6312121
"Echelon Chicago, Chicago, IL","$1,704","353 N Desplaines St, Chicago, IL 60661",Studio - 2 Bed,West Loop,41.8883403,-87.643546
"215 West Apartments, Chicago, IL","$1,785","215 W Washington St, Chicago, IL 60606",Studio - 3 Bed,Chicago Loop,41.8828584,-87.63415789999999
"Left Bank, Chicago, IL","$1,779","300 N Canal St, Chicago, IL 60606",Studio - 3 Bed,West Loop,41.8873478,-87.6404615
"Astoria Tower, Chicago, IL","$1,549","8 E 9th St, Chicago, IL 60605",Studio - 2 Bed,Chicago Loop,41.8707732,-87.62707960000002
"Randolph Tower City Apartments, Chicago, IL","$1,565","188 W Randolph St, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.88487660000001,-87.6333689
"Wolf Point East, Chicago, IL","$1,880","313 W Wolf Point Plz, Chicago, IL 60654",Studio - 3 Bed,River North,41.88771819999999,-87.6369038
Infinite Chicago,$869,"28 E Jackson Blvd, Chicago, IL 60604",Studio - 4 Bed,Chicago Loop,41.8783571,-87.62650599999999
