Station Name,Latitude,Longitude
18th,41.857908,-87.669147
35th/Archer,41.829353,-87.680622
35th-Bronzeville-IIT,41.831677,-87.625826
43rd,41.816462,-87.619021
47th,41.809209,-87.618826
47th,41.810318,-87.63094
51st,41.80209,-87.618487
54th/Cermak,41.85177331,-87.75669201
63rd,41.780536,-87.630952
69th,41.768367,-87.625724
79th,41.750419,-87.625112
87th,41.735372,-87.624717
95th/Dan Ryan,41.722377,-87.624342
95th/Ran Ryan,41.722377,-87.624342
Adams/Wabash,41.879507,-87.626037
Addison,41.94738,-87.71906
Addison,41.947028,-87.674642
Addison,41.947428,-87.653626
Argyle,41.973453,-87.65853
Armitage,41.918217,-87.652644
Ashland,41.885269,-87.666969
Ashland,41.839234,-87.665317
Ashland/63rd,41.77886,-87.663766
Austin,41.870851,-87.776812
Austin,41.887293,-87.774135
Belmont,41.938132,-87.712359
Belmont,41.939751,-87.65338
Berwyn,41.977984,-87.658668
Bryn Mawr,41.983504,-87.65884
California,41.854109,-87.694774
California,41.88422,-87.696234
California,41.921939,-87.69689
Central,41.887389,-87.76565
Central,42.063987,-87.685617
Central Park,41.853839,-87.714842
Cermak-Chinatown,41.853206,-87.630968
Cermak-McCormick Place,41.853115,-87.626402
Chicago,41.896075,-87.655214
Chicago,41.89681,-87.635924
Chicago,41.896671,-87.628176
Cicero,41.85182,-87.745336
Cicero,41.871574,-87.745154
Cicero,41.886519,-87.744698
Clark/Division,41.90392,-87.631412
Clark/Lake,41.885737,-87.630886
Clinton,41.875539,-87.640984
Clinton,41.885678,-87.641782
Conservatory,41.884904,-87.716523
Cottage Grove,41.780309,-87.605857
Cumberland,41.984246,-87.838028
Damen,41.854517,-87.675975
Damen,41.909744,-87.677437
Damen,41.966286,-87.678639
Davis,42.04771,-87.683543
Dempster,42.041655,-87.681602
Dempster-Skokie,42.038951,-87.751919
Diversey,41.932732,-87.653131
Division,41.903355,-87.666496
Forest Park,41.874257,-87.817318
Foster,42.05416,-87.68356
Francisco,41.966046,-87.701644
Fullerton,41.925051,-87.652866
Garfield,41.795172,-87.618327
Garfield,41.79542,-87.631157
Grand,41.891189,-87.647578
Grand,41.891665,-87.628021
Granville,41.993664,-87.659202
Halsted,41.84678,-87.648088
Halsted,41.778943,-87.644244
Harlem,41.98227,-87.8089
Harlem,41.87349,-87.806961
Harlem/Lake,41.886848,-87.803176
Harold Washington Library-State/Van Buren,41.876862,-87.628196
Harrison,41.874039,-87.627479
Howard,42.019063,-87.672892
Illinois Medical District,41.875706,-87.673932
Indiana,41.821732,-87.621371
Irving Park,41.952925,-87.729229
Irving Park,41.954521,-87.674868
Jackson,41.878183,-87.629296
Jackson,41.878153,-87.627596
Jarvis,42.015876,-87.669092
Jefferson Park,41.970634,-87.760892
Kedzie,41.804236,-87.704406
Kedzie,41.853964,-87.705408
Kedzie,41.965996,-87.708821
Kedzie,41.884321,-87.706155
Kedzie-Homan,41.874341,-87.70604
Kimball,41.967901,-87.713065
King Drive,41.78013,-87.615546
Kostner,41.853751,-87.733258
Lake,41.884809,-87.627813
Laramie,41.887163,-87.754986
LaSalle,41.875568,-87.631722
LaSalle/Van Buren,41.8768,-87.631739
Lawrence,41.969139,-87.658493
Linden,42.073153,-87.69073
Logan Square,41.929728,-87.708541
Loyola,42.001073,-87.661061
Main,42.033456,-87.679538
Merchandise Mart,41.888969,-87.633924
Midway,41.78661,-87.737875
Monroe,41.880703,-87.629378
Monroe,41.880745,-87.627696
Montrose,41.961539,-87.743574
Montrose,41.961756,-87.675047
Morgan,41.885586,-87.652193
Morse,42.008362,-87.665909
North/Clybourn,41.910655,-87.649177
Noyes,42.058282,-87.683337
Oak Park,41.872108,-87.791602
Oak Park,41.886988,-87.793783
Oakton-Skokie,42.02624348,-87.74722084
O'Hare,41.97766526,-87.90422307
Paulina,41.943623,-87.670907
Polk,41.871551,-87.66953
Pulaski,41.799756,-87.724493
Pulaski,41.853732,-87.724311
Pulaski,41.873797,-87.725663
Pulaski,41.885412,-87.725404
Quincy/Wells,41.878723,-87.63374
Racine,41.87592,-87.659458
Ridgeland,41.887159,-87.783661
Rockwell,41.966115,-87.6941
Roosevelt,41.867405,-87.62659
Roosevelt,41.867368,-87.627402
Rosemont,41.983507,-87.859388
Sedgwick,41.910409,-87.639302
Sheridan,41.953775,-87.654929
South Boulevard,42.027612,-87.678329
Southport,41.943744,-87.663619
Sox-35th,41.831191,-87.630636
State/Lake,41.88574,-87.627835
Thorndale,41.990259,-87.659076
UIC-Halsted,41.875474,-87.649707
Washington,41.883164,-87.62944
Washington/Wabash,41.88322,-87.626189
Washington/Wells,41.882695,-87.63378
Wellington,41.936033,-87.653266
Western,41.804546,-87.684019
Western,41.854225,-87.685129
Western,41.966163,-87.688502
Western,41.916157,-87.687364
Western,41.875478,-87.688436
Wilson,41.964273,-87.657588
